trial_id,experiment_type,hover_duration_sec,drone_name,drone_ip,drone_role,start_pad,target_pad,phase,timestamp,elapsed_time,hover_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,battery,battery_hover_start,battery_end,battery_drop,templ,temph,tof,h,baro,motor_time,target_x,target_y,target_z,position_error_x,position_error_y,position_error_z,position_error_dist
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:34.882,1.362,1.362,2,-16,23,81,-16,73,81,-29,-2,0,0,0,0,13.0,-1.0,-984.0,83,84,,,63,66,81,60,-97.62,19,0,50,80,16,-23,-1,28.036
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:34.882,1.362,1.362,3,-11,16,84,-11,116,84,-7,0,1,0,0,0,-2.0,-11.0,-987.0,81,81,,,67,69,84,70,-96.8,19,0,100,80,11,-16,-4,19.824
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:34.987,1.467,1.467,1,-3,5,82,-3,5,82,-4,-2,1,0,0,0,-19.0,-10.0,-973.0,86,87,,,61,64,82,80,-97.88,19,0,0,80,3,-5,-2,6.164
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:34.987,1.467,1.467,2,-16,23,81,-16,73,81,-29,-3,1,0,0,0,-42.0,26.0,-986.0,83,84,,,63,66,80,60,-97.62,19,0,50,80,16,-23,-1,28.036
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:34.987,1.467,1.467,3,-11,16,84,-11,116,84,-7,0,0,0,0,0,12.0,-10.0,-1008.0,81,81,,,67,69,83,70,-96.78,19,0,100,80,11,-16,-4,19.824
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.092,1.572,1.572,1,-3,5,82,-3,5,82,-4,-2,1,0,0,0,-66.0,0.0,-981.0,86,87,,,61,64,82,80,-97.88,19,0,0,80,3,-5,-2,6.164
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.092,1.572,1.572,2,-16,23,81,-16,73,81,-29,-2,0,0,0,0,-49.0,-3.0,-1037.0,83,84,,,63,66,80,60,-97.74,19,0,50,80,16,-23,-1,28.036
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.092,1.572,1.572,3,-11,16,84,-11,116,84,-7,0,0,0,0,0,7.0,-19.0,-1004.0,81,81,,,67,69,83,70,-96.75,19,0,100,80,11,-16,-4,19.824
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.198,1.678,1.678,1,-3,4,82,-3,4,82,-4,-1,1,0,0,0,-26.0,-26.0,-1059.0,86,87,,,61,64,82,80,-97.88,19,0,0,80,3,-4,-2,5.385
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.198,1.678,1.678,2,-14,22,81,-14,72,81,-30,-1,0,0,0,0,-76.0,-13.0,-987.0,83,84,,,63,66,80,60,-97.66,19,0,50,80,14,-22,-1,26.096
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.198,1.678,1.678,3,-11,16,84,-11,116,84,-7,0,0,0,0,0,1.0,-12.0,-988.0,81,81,,,67,69,83,70,-96.8,19,0,100,80,11,-16,-4,19.824
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.304,1.785,1.785,1,-3,4,82,-3,4,82,-4,-1,1,0,0,0,-26.0,-26.0,-1059.0,86,87,,,61,64,82,80,-97.88,19,0,0,80,3,-4,-2,5.385
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.304,1.785,1.785,2,-14,22,81,-14,72,81,-30,-1,0,0,0,0,-76.0,-13.0,-987.0,83,84,,,63,66,80,60,-97.66,19,0,50,80,14,-22,-1,26.096
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.304,1.785,1.785,3,-11,16,84,-11,116,84,-7,0,0,0,0,0,1.0,-12.0,-988.0,81,81,,,67,69,83,70,-96.8,19,0,100,80,11,-16,-4,19.824
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.407,1.887,1.887,1,-3,4,82,-3,4,82,-4,-1,2,0,0,0,-43.0,-6.0,-1027.0,86,87,,,61,64,82,80,-97.65,19,0,0,80,3,-4,-2,5.385
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.407,1.887,1.887,2,-14,22,81,-14,72,81,-30,-1,0,0,0,0,-43.0,-2.0,-1025.0,83,84,,,63,66,79,60,-97.59,19,0,50,80,14,-22,-1,26.096
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.407,1.887,1.887,3,-10,17,83,-10,117,83,-7,0,0,0,0,0,0.0,-14.0,-1006.0,81,81,,,67,69,82,70,-96.77,19,0,100,80,10,-17,-3,19.95
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.508,1.988,1.988,1,-3,4,82,-3,4,82,-4,-2,0,0,0,0,-30.0,-36.0,-1011.0,86,87,,,61,64,82,80,-97.62,19,0,0,80,3,-4,-2,5.385
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.508,1.988,1.988,2,-14,22,81,-14,72,81,-29,-2,2,0,0,0,-46.0,-3.0,-961.0,83,84,,,63,66,80,60,-97.58,19,0,50,80,14,-22,-1,26.096
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.508,1.988,1.988,3,-10,17,83,-10,117,83,-7,0,0,0,0,0,11.0,-40.0,-986.0,81,81,,,67,69,81,70,-96.85,19,0,100,80,10,-17,-3,19.95
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.614,2.094,2.094,1,-3,4,82,-3,4,82,-4,-1,0,0,0,0,3.0,5.0,-1012.0,86,87,,,61,64,83,80,-97.64,19,0,0,80,3,-4,-2,5.385
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.614,2.094,2.094,2,-14,22,81,-14,72,81,-30,-2,1,0,0,0,-81.0,-13.0,-1000.0,83,84,,,63,66,80,60,-97.68,19,0,50,80,14,-22,-1,26.096
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.614,2.094,2.094,3,-10,17,83,-10,117,83,-7,0,0,0,0,0,14.0,-24.0,-991.0,81,81,,,67,69,81,70,-96.8,19,0,100,80,10,-17,-3,19.95
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.719,2.199,2.199,1,-4,3,82,-4,3,82,-4,-1,0,0,0,0,-13.0,8.0,-1021.0,86,87,,,61,64,83,80,-97.75,19,0,0,80,4,-3,-2,5.385
