run_id,baseline_id,drone_name,drone_number,drone_ip,battery_id,mode,direction,baseline_path,phase,timestamp,elapsed_time,mid,x,y,z,battery,battery_start,battery_drop_from_start,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:47.897,62.286,5,-17,34,82,77,100,23,-12,0,0,0,0,0,12.0,-3.0,-1001.0,51,54,82,70,-122.53,62
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:48.901,63.29,6,-20,-9,83,77,100,23,-12,0,0,0,0,0,12.0,0.0,-1000.0,52,54,82,70,-122.45,63
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:49.902,64.291,5,-17,35,82,77,100,23,-12,0,0,0,0,0,12.0,-2.0,-1004.0,51,54,82,70,-122.42,64
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:50.908,65.297,6,-20,-6,82,77,100,23,-12,0,0,0,0,0,12.0,0.0,-1003.0,52,55,82,70,-122.44,65
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:51.914,66.303,5,-16,38,83,77,100,23,-12,0,0,0,0,0,19.0,-8.0,-994.0,52,55,82,70,-122.34,66
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:52.919,67.309,6,-20,-3,83,76,100,24,-12,0,0,0,0,0,7.0,5.0,-1005.0,52,54,82,70,-122.52,67
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:53.925,68.315,6,-18,-7,83,76,100,24,-12,0,0,0,0,0,7.0,6.0,-992.0,52,56,82,70,-122.45,68
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:54.931,69.32,6,-20,1,83,76,100,24,-12,0,0,0,0,0,9.0,5.0,-996.0,52,54,83,70,-122.31,69
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:55.937,70.326,6,-19,-4,84,76,100,24,-12,0,0,0,0,0,11.0,0.0,-991.0,53,55,83,70,-122.37,70
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:56.938,71.328,6,-17,-4,84,76,100,24,-12,0,0,0,0,0,5.0,7.0,-1000.0,53,54,82,70,-122.45,71
