source_file,status,notes,battery_id,drone_name,run_id,baseline_id,duration_sec,battery_start,battery_end,battery_drop,battery_drop_per_min,align_offset_sec,raw_point_count,plotted_point_count
db_copy_for_cleaning/baselines/drone_2_B10/drone_2_B10_hover_20260513_180556_timeseries.csv,included,,B10,drone_2,20260513_180556,drone_2_B10_hover_20260513_180556,593.438,100.0,10.0,90.0,9.0995,5.022,591.0,591.0
db_copy_for_cleaning/baselines/drone_3_B10/drone_3_B10_hover_batterytest_10_20260506_115206_timeseries.csv,included,,B10,drone_3,batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,573.54,95.0,10.0,85.0,8.8921,0.0,5685.0,1138.0
db_copy_for_cleaning/baselines/drone_1_B11/drone_1_B11_hover_20260513_143201_timeseries.csv,included,,B11,drone_1,20260513_143201,drone_1_B11_hover_20260513_143201,508.782,100.0,10.0,90.0,10.6136,7.031,507.0,507.0
db_copy_for_cleaning/baselines/drone_2_B12/drone_2_B12_hover_20260513_145311_timeseries.csv,included,,B12,drone_2,20260513_145311,drone_2_B12_hover_20260513_145311,613.245,100.0,10.0,90.0,8.8056,34.166,611.0,611.0
db_copy_for_cleaning/baselines/drone_2_B12/drone_2_B12_hover_20260513_154650_timeseries.csv,included,,B12,drone_2,20260513_154650,drone_2_B12_hover_20260513_154650,594.227,100.0,10.0,90.0,9.0874,23.108,592.0,592.0
db_copy_for_cleaning/baselines/drone_2_B12/drone_2_B12_hover_20260513_165620_timeseries.csv,included,,B12,drone_2,20260513_165620,drone_2_B12_hover_20260513_165620,560.341,100.0,10.0,90.0,9.637,22.096,558.0,558.0
db_copy_for_cleaning/baselines/drone_2_B12/drone_2_B12_hover_20260513_174815_timeseries.csv,included,,B12,drone_2,20260513_174815,drone_2_B12_hover_20260513_174815,545.719,100.0,10.0,90.0,9.8952,17.075,544.0,544.0
db_copy_for_cleaning/baselines/drone_2_B12/drone_2_B12_hover_20260514_134041_timeseries.csv,included,,B12,drone_2,20260514_134041,drone_2_B12_hover_20260514_134041,279.301,100.0,59.0,41.0,8.8077,13.055,279.0,279.0
db_copy_for_cleaning/baselines/drone_5_B12/drone_5_B12_hover_lv1_20260609_174758_20260609_174758_all_battery_timeseries.csv,included,,B12,drone_5,20260609_174758,drone_5_B12_hover_lv1_20260609_174758,520.194,100.0,10.0,90.0,10.3807,6.028,518.0,518.0
db_copy_for_cleaning/baselines/drone_3_B13/drone_3_B13_hover_20260513_151417_timeseries.csv,included,,B13,drone_3,20260513_151417,drone_3_B13_hover_20260513_151417,483.805,94.0,10.0,84.0,10.4174,0.0,482.0,482.0
db_copy_for_cleaning/baselines/drone_3_B13/drone_3_B13_hover_20260513_163826_timeseries.csv,included,,B13,drone_3,20260513_163826,drone_3_B13_hover_20260513_163826,468.428,100.0,10.0,90.0,11.5279,5.02,467.0,467.0
db_copy_for_cleaning/baselines/drone_4_B14/drone_4_B14_hover_20260513_144257_timeseries.csv,included,,B14,drone_4,20260513_144257,drone_4_B14_hover_20260513_144257,513.097,100.0,10.0,90.0,10.5243,3.018,511.0,511.0
db_copy_for_cleaning/baselines/drone_5_B15/drone_5_B15_hover_20260513_150444_timeseries.csv,included,,B15,drone_5,20260513_150444,drone_5_B15_hover_20260513_150444,498.938,100.0,10.0,90.0,10.823,7.032,497.0,497.0
db_copy_for_cleaning/baselines/drone_5_B15/drone_5_B15_hover_lv1_20260609_180213_20260609_180213_all_battery_timeseries.csv,included,,B15,drone_5,20260609_180213,drone_5_B15_hover_lv1_20260609_180213,510.586,100.0,10.0,90.0,10.5761,6.036,509.0,509.0
