run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,hover_start_timestamp,hover_end_timestamp,hover_duration_sec,node_start_timestamp,node_end_timestamp,node_duration_sec,target_pad,node_forward_distance_cm,node_speed_cm_s,battery_hover_start,battery_hover_end,battery_drop,condition,drop_rate_pct_per_min
20260508_131155,front_head_lv1_009,front,head wind,Level1,drone_5,192.168.0.107,B07,5,front_5,5,4,0,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,2,250,10,61,54,7,front_head_lv1,8.512190673071077
20260508_144810,front_head_lv2_001,front,head wind,Level2,drone_1,192.168.0.101,B02,1,front_1,1,0,0,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,6,250,10,67,57,10,front_head_lv2,11.7359413202934
20260508_144810,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,7,250,10,66,57,9,front_head_lv2,10.56234718826406
20260508_144810,front_head_lv2_001,front,head wind,Level2,drone_3,192.168.0.103,B06,3,front_3,3,2,0,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,8,250,10,67,59,8,front_head_lv2,9.38875305623472
20260508_144810,front_head_lv2_001,front,head wind,Level2,drone_4,192.168.0.106,B07,4,front_4,4,3,0,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,1,250,10,68,57,11,front_head_lv2,12.909535452322737
20260508_144810,front_head_lv2_001,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,2026-05-08T14:48:30.322,2026-05-08T14:49:21.447,51.125,2,250,10,65,54,11,front_head_lv2,12.909535452322737
20260508_145018,front_head_lv2_002,front,head wind,Level2,drone_1,192.168.0.101,B02,1,front_1,1,0,0,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,6,250,10,55,46,9,front_head_lv2,10.064862446879893
20260508_145018,front_head_lv2_002,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,7,250,10,54,45,9,front_head_lv2,10.064862446879893
20260508_145018,front_head_lv2_002,front,head wind,Level2,drone_3,192.168.0.103,B06,3,front_3,3,2,0,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,8,250,10,56,45,11,front_head_lv2,12.301498546186535
20260508_145018,front_head_lv2_002,front,head wind,Level2,drone_4,192.168.0.106,B07,4,front_4,4,3,0,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,1,250,10,53,44,9,front_head_lv2,10.064862446879893
20260508_145018,front_head_lv2_002,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,2026-05-08T14:50:37.340,2026-05-08T14:51:30.992,53.652,2,250,10,47,37,10,front_head_lv2,11.183180496533215
20260508_145231,front_head_lv2_003,front,head wind,Level2,drone_1,192.168.0.101,B06,1,front_1,1,0,0,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,6,250,10,45,35,10,front_head_lv2,11.679741488388391
20260508_145231,front_head_lv2_003,front,head wind,Level2,drone_2,192.168.0.102,B07,2,front_2,2,1,0,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,7,250,10,42,31,11,front_head_lv2,12.847715637227228
20260508_145231,front_head_lv2_003,front,head wind,Level2,drone_3,192.168.0.103,B10,3,front_3,3,2,0,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,8,250,10,43,30,13,front_head_lv2,15.183663934904907
20260508_145231,front_head_lv2_003,front,head wind,Level2,drone_4,192.168.0.106,B02,4,front_4,4,3,0,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,1,250,10,40,31,9,front_head_lv2,10.51176733954955
20260508_145231,front_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,2026-05-08T14:52:50.929,2026-05-08T14:53:42.300,51.371,2,250,10,31,16,15,front_head_lv2,17.519612232582585
20260511_110526,front_head_lv2_005,front,head wind,Level2,drone_1,192.168.0.101,B04,1,front_1,1,0,0,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,6,250,10,63,57,6,front_head_lv2,7.426814927898005
20260511_110526,front_head_lv2_005,front,head wind,Level2,drone_2,192.168.0.102,B06,2,front_2,2,1,0,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,7,250,10,60,52,8,front_head_lv2,9.902419903864006
20260511_110526,front_head_lv2_005,front,head wind,Level2,drone_3,192.168.0.103,B07,3,front_3,3,2,0,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,8,250,10,54,48,6,front_head_lv2,7.426814927898005
20260511_110526,front_head_lv2_005,front,head wind,Level2,drone_4,192.168.0.106,B10,4,front_4,4,3,0,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,1,250,10,59,51,8,front_head_lv2,9.902419903864006
20260511_110526,front_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,2026-05-11T11:05:45.674,2026-05-11T11:06:34.147,48.473,2,250,10,59,55,4,front_head_lv2,4.951209951932003
20260511_110738,front_head_lv2_006,front,head wind,Level2,drone_1,192.168.0.101,B04,1,front_1,1,0,0,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,6,250,10,56,49,7,front_head_lv2,9.691264017721169
20260511_110738,front_head_lv2_006,front,head wind,Level2,drone_2,192.168.0.102,B06,2,front_2,2,1,0,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,7,250,10,50,42,8,front_head_lv2,11.075730305967049
20260511_110738,front_head_lv2_006,front,head wind,Level2,drone_3,192.168.0.103,B07,3,front_3,3,2,0,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,8,250,10,45,38,7,front_head_lv2,9.691264017721169
20260511_110738,front_head_lv2_006,front,head wind,Level2,drone_4,192.168.0.106,B10,4,front_4,4,3,0,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,1,250,10,46,38,8,front_head_lv2,11.075730305967049
20260511_110738,front_head_lv2_006,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,2026-05-11T11:07:57.614,2026-05-11T11:08:40.952,43.338,2,250,10,50,42,8,front_head_lv2,11.075730305967049
20260511_134142,front_head_lv2_008,front,head wind,Level2,drone_1,192.168.0.101,B06,1,front_1,1,0,0,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,6,250,10,63,57,6,front_head_lv2,9.223437780225973
20260511_134142,front_head_lv2_008,front,head wind,Level2,drone_2,192.168.0.102,B07,2,front_2,2,1,0,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,7,250,10,61,54,7,front_head_lv2,10.760677410263638
20260511_134142,front_head_lv2_008,front,head wind,Level2,drone_3,192.168.0.103,B10,3,front_3,3,2,0,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,8,250,10,66,64,2,front_head_lv2,3.0744792600753246
20260511_134142,front_head_lv2_008,front,head wind,Level2,drone_4,192.168.0.106,B02,4,front_4,4,3,0,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,1,250,10,60,55,5,front_head_lv2,7.686198150188312
20260511_134142,front_head_lv2_008,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,2026-05-11T13:42:01.544,2026-05-11T13:42:40.576,39.031,2,250,10,59,53,6,front_head_lv2,9.223437780225973
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_1,192.168.0.101,B07,1,front_1,1,0,0,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,6,250,10,67,62,5,front_head_lv2,7.0129505820748985
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_2,192.168.0.102,B10,2,front_2,2,1,0,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,7,250,10,70,62,8,front_head_lv2,11.220720931319837
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_3,192.168.0.103,B02,3,front_3,3,2,0,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,8,250,10,67,63,4,front_head_lv2,5.610360465659919
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_4,192.168.0.106,B04,4,front_4,4,3,0,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,1,250,10,68,62,6,front_head_lv2,8.41554069848988
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_5,192.168.0.107,B06,5,front_5,5,4,0,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,2026-05-11T14:55:49.756,2026-05-11T14:56:32.534,42.778,2,250,10,59,52,7,front_head_lv2,9.818130814904858
20260511_145728,front_head_lv2_010,front,head wind,Level2,drone_1,192.168.0.101,B07,1,front_1,1,0,0,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,6,250,10,60,51,9,front_head_lv2,10.192333100545477
20260511_145728,front_head_lv2_010,front,head wind,Level2,drone_2,192.168.0.102,B10,2,front_2,2,1,0,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,7,250,10,59,49,10,front_head_lv2,11.324814556161643
20260511_145728,front_head_lv2_010,front,head wind,Level2,drone_3,192.168.0.103,B02,3,front_3,3,2,0,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,8,250,10,60,52,8,front_head_lv2,9.059851644929315
20260511_145728,front_head_lv2_010,front,head wind,Level2,drone_4,192.168.0.106,B04,4,front_4,4,3,0,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,1,250,10,58,49,9,front_head_lv2,10.192333100545477
20260511_145728,front_head_lv2_010,front,head wind,Level2,drone_5,192.168.0.107,B06,5,front_5,5,4,0,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,2026-05-11T14:57:46.301,2026-05-11T14:58:39.282,52.981,2,250,10,45,37,8,front_head_lv2,9.059851644929315
20260511_162004,front_tail_lv1_002,front,tail wind,Level1,drone_1,192.168.0.101,B02,1,front_1,6,0,5,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,1,250,10,62,54,8,front_tail_lv1,9.823383746392976
20260511_162004,front_tail_lv1_002,front,tail wind,Level1,drone_2,192.168.0.102,B04,2,front_2,7,1,5,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,2,250,10,60,50,10,front_tail_lv1,12.279229682991222
20260511_162004,front_tail_lv1_002,front,tail wind,Level1,drone_3,192.168.0.103,B06,3,front_3,8,2,5,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,3,250,10,60,50,10,front_tail_lv1,12.279229682991222
20260511_162004,front_tail_lv1_002,front,tail wind,Level1,drone_4,192.168.0.106,B07,4,front_4,1,3,5,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,4,250,10,59,50,9,front_tail_lv1,11.051306714692098
20260511_162004,front_tail_lv1_002,front,tail wind,Level1,drone_5,192.168.0.107,B10,5,front_5,2,4,5,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,2026-05-11T16:20:21.438,2026-05-11T16:21:10.301,48.863,5,250,10,49,36,13,front_tail_lv1,15.962998587888586
